"","Cell_Type","Arm","HR","Lower_CI","Upper_CI","coef","se","p_value"
"45","CD39+ CD4+ T Cells","Experimental",2.91316503833655,0.326286677249963,26.0094301493193,1.06924013216938,1.11696901341662,0.338431352651487
"46","CD38+ HLA-DR+ CD4+ T Cells","All",0.0349269311014443,4.47918335270126e-07,2723.46635560109,-3.35449708255613,5.74712490371525,0.559433843603116
"47","CD38+ HLA-DR+ CD4+ T Cells","Control",3.96762672169441e-06,9.63162189832656e-17,163441.442873071,-12.4373424451203,12.4704089950204,0.318595428820874
"48","CD38+ HLA-DR+ CD4+ T Cells","Experimental",2.07166618507945,1.8913073516695e-05,226922.439581974,0.728353203830878,5.92052223914765,0.90208984842359
"49","CM CD4+ T Cells","All",2.11112620831529,0.406839973879469,10.9548081643425,0.747221553111892,0.840095492329408,0.37376216759077
"50","CM CD4+ T Cells","Control",1.06065718903793,0.0850104715009298,13.2335893778162,0.0588887056682183,1.28771220365639,0.963524445465244
"51","CM CD4+ T Cells","Experimental",2.76426799592643,0.314141404271623,24.3240064805216,1.01677586065756,1.10955504293902,0.359466765992481
"52","Naive CD4+ T Cells","All",0.0429704071481354,1.73362820276065e-05,106.508182523577,-3.14724360606825,3.98755562914475,0.429956330684009
"53","Naive CD4+ T Cells","Control",9.47449248634226,7.22979909112182e-07,124161137.456764,2.24860318608719,8.36162690679922,0.787991754123659
"54","Naive CD4+ T Cells","Experimental",0.000368901871148998,9.16081888115525e-14,1485550.49829857,-7.90497988113543,11.2840215550057,0.483586182692061
"55","Effector CD4+ T Cells","All",0.0308166291067422,5.88676336531079e-07,1613.22032256068,-3.47970082863639,5.54382048595437,0.530218838979855
"56","Effector CD4+ T Cells","Control",0.00257458486616114,5.42958530877252e-09,1220.80911452969,-5.9620669748881,6.668151152016,0.371262530059266
"57","Effector CD4+ T Cells","Experimental",627.841394559439,3.33084377493425e-10,1183438321811181,6.44228757813644,14.4211388950334,0.655073413325712
"58","EM CD4+ T Cells","All",0.665027837464701,0.115975643070211,3.81340437435844,-0.40792637835325,0.891061631172041,0.647097455315369
"59","EM CD4+ T Cells","Control",1.27814690253433,0.0846917073525741,19.2894860137503,0.245411296559382,1.38479528511463,0.859336791232307
"60","EM CD4+ T Cells","Experimental",0.579118513659843,0.0522328809235526,6.42082624840168,-0.546248135550062,1.22746895508055,0.656305358998904
"61","CD103+ CD8+ T Cells","All",0.335193770860229,0.0277351508332681,4.05099163508896,-1.09304649389942,1.27145611494609,0.389964984985076
"62","CD103+ CD8+ T Cells","Control",0.0995090629114662,0.00178939018175197,5.53375876457707,-2.30750655442819,2.05022840982182,0.260382489080625
"63","CD103+ CD8+ T Cells","Experimental",1.23779087166067,0.0385939744810164,39.6985866982969,0.213328235647904,1.76941381536981,0.90403610330363
"64","CD152+ CD8+ T Cells","All",0.335904664342299,0.000284563428389944,396.508940608827,-1.0909278963564,3.60905942241655,0.762442548767373
